Movies,Years,Review Links,Buy Links
 Stand By Me,1986,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/stand-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B003BNY6YE/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B003BNY6YE&linkId=5dd32860f2c5126a8a53f2668f114778
 Raging Bull,1980,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/raging-bull/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B004G8QT2U/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B004G8QT2U&linkId=b26f7fb5172ea177d53f358d272209a3
 Amelie,2001,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/amelie/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B005HI4LN2/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B005HI4LN2&linkId=ecd25f9d461c9a4a98819ae5c1888486
 Titanic,1997,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/titanic-2-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B003AQCV0I/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B003AQCV0I&linkId=b5eb9f1edc82d3e0b531bf8868ac7f5a
 Good Will Hunting,1997,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/good-will-hunting/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B00525QKI4/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B00525QKI4&linkId=d6f31468fbef11a2ee16a7c58ccea83a
 Arrival,2016,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/arrival-2-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B01MXEQRLW/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B01MXEQRLW&linkId=2a277db8e31e04b56023d1be7032a695
 Lost In Translation,2003,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/lost-translation-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B005HI4LPU/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B005HI4LPU&linkId=4c4598f997bc0b054b3b581ef7a8cb91
 The Princess Bride,1987,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/princess-bride-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B074NGZJHY/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B074NGZJHY&linkId=cdc6c2c5f2816c07f4b360aa7db8b53c
 The Terminator,1984,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/terminator/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B00W5C5AM4/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B00W5C5AM4&linkId=e08be4bd50012b810357f570f2902076
 The Prestige,2006,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/prestige-review/,https://web.archive.org/web/20200518073855/https://www.amazon.co.uk/gp/product/B000RWDX9Q/ref=as_li_tl?ie=UTF8&tag=baucitnet-21&camp=1634&creative=6738&linkCode=as2&creativeASIN=B000RWDX9Q&linkId=5c209003947be8894152085026e34f76
